Player,League Value,Proj Value,Avg Cost,FGM,FG%,FTM,3PTM,PTS,REB,AST,ST,BLK,FGM Percentile,FG% Percentile,FTM Percentile,3PTM Percentile,PTS Percentile,REB Percentile,AST Percentile,STL Percentile,BLK Percentile,FGM Z-Score,FG% Z-Score,FTM Z-Score,3PTM Z-Score,PTS Z-Score,REB Z-Score,AST Z-Score,STL Z-Score,BLK Z-Score,Mean Percentile,Mean Percentile/Avg Cost,Mean Z-Score,Mean Z-Score/Avg Cost,Fitted Avg Cost,Avg Cost Residaual
Jae Crowder Cle - F,10,10,8.8,333,0.463,176,157,999,415,155,73,23,0.672473868,0.585365854,0.773519164,0.923344948,0.731707317,0.759581882,0.620209059,0.735191638,0.442508711,0.227856015,-0.030636198,0.32066786,1.402588124,0.426034657,0.474583985,-0.088317418,0.532743192,-0.397601467,0.693766938,31.900972,0.318657639,14.65259853,6.724434756,2.075565244
Danilo Gallinari LAC - F,10,10,6.6,335,0.447,349,126,1145,325,135,40,15,0.679442509,0.43554007,0.933797909,0.825783972,0.825783972,0.6271777,0.550522648,0.327526132,0.275261324,0.240264872,-0.280071339,1.767023229,0.891893361,0.741865455,0.00693418,-0.223972215,-0.561037595,-0.644663163,0.608981804,32.27129451,0.215359643,11.41238442,4.580635995,2.019364005
"Nerlens Noel Dal - F,C",10,10,6.7,184,0.595,77,0,445,294,50,65,50,0.264808362,0.958188153,0.365853659,0.12195122,0.222996516,0.56097561,0.135888502,0.662020906,0.797909408,-0.69660383,2.027203719,-0.50701527,-1.183833741,-0.772391796,-0.154145197,-0.800505105,0.267584213,0.436231758,0.454510259,23.89508758,-0.153719472,-8.0815343,2.193328401,4.506671599
Lou Williams LAC - G,10,10,6.8,428,0.429,402,163,1421,202,239,80,19,0.832752613,0.282229965,0.958188153,0.930313589,0.898954704,0.275261324,0.790940767,0.787456446,0.341463415,0.817276722,-0.560685873,2.210126318,1.501432272,1.338915457,-0.632187219,0.481432732,0.764757298,-0.521132315,0.677506775,35.34345992,0.599992821,31.29979361,15.73763847,-8.937638474
Marcin Gortat Was - C,9,9,9.9,390,0.579,103,0,883,849,121,40,61,0.759581882,0.947735192,0.512195122,0.12195122,0.668989547,0.972125436,0.505226481,0.327526132,0.843205575,0.581508439,1.777768577,-0.289643943,-1.183833741,0.175100598,2.729695263,-0.318930574,-0.561037595,0.775941591,0.628726287,27.42494025,0.409618735,17.86750381,9.169455564,0.730544436
Avery Bradley Det - G,9,9,5.9,359,0.463,68,108,894,334,122,68,11,0.700348432,0.585365854,0.296167247,0.742160279,0.679442509,0.648083624,0.515679443,0.696864111,0.18466899,0.389171156,-0.030636198,-0.582259191,0.595360918,0.198896069,0.053699161,-0.312147834,0.36701883,-0.768194011,0.56097561,31.60510813,-0.009899011,-0.557705742,2.260881364,3.639118636
Jonas Valanciunas Tor - C,9,9,8.8,391,0.557,176,1,959,759,57,37,63,0.763066202,0.923344948,0.773519164,0.142857143,0.710801394,0.961672474,0.177700348,0.268292683,0.853658537,0.587712867,1.434795258,0.32066786,-1.167359717,0.339505671,2.262045459,-0.753025925,-0.660472212,0.837707015,0.619434766,28.48301071,0.355730697,16.35730156,7.660127572,1.139872428
"Dwight Howard Cha - F,C",9,9,10.3,388,0.633,226,0,1002,940,104,64,92,0.756097561,0.972125436,0.853658537,0.12195122,0.738675958,0.982578397,0.432055749,0.644599303,0.93728223,0.569099582,2.619612179,0.738689643,-1.183833741,0.432524331,3.202541177,-0.434237151,0.234439341,1.733305664,0.715447154,30.67765912,0.87912678,37.69607794,27.54582625,-17.24582625
Julius Randle LAL - F,9,9,6.7,377,0.487,204,17,975,637,264,49,37,0.735191638,0.728222997,0.818815331,0.226480836,0.717770035,0.933797909,0.81184669,0.480836237,0.655052265,0.500850869,0.343516514,0.554760058,-0.903775323,0.374117266,1.628120169,0.651001228,-0.262733744,0.034756502,0.678668215,35.67980284,0.324512615,17.06068721,6.866493619,-0.166493619
George Hill Sac - G,8,8,5.1,289,0.477,157,94,829,167,204,50,11,0.574912892,0.679442509,0.742160279,0.675958188,0.620209059,0.18466899,0.738675958,0.49825784,0.18466899,-0.045138839,0.187619551,0.161819582,0.364724573,0.058286468,-0.814051032,0.244036836,-0.229588872,-0.768194011,0.5443283,33.40994084,-0.093387305,-5.731953176,2.1178515,2.9821485
Dennis Smith Jr. Dal - G,8,8,4.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Patrick Beverley LAC - G,8,8,3.2,228,0.42,73,110,639,393,281,99,25,0.404181185,0.219512195,0.334494774,0.756097561,0.463414634,0.724738676,0.836236934,0.919860627,0.480836237,-0.423608977,-0.70099314,-0.540457013,0.628308967,-0.352726215,0.360269588,0.766307806,1.394509872,-0.335836043,0.571041425,49.09435818,0.088419427,7.601716521,2.893159988,0.306840012
Aaron Gordon Orl - F,8,8,3.8,393,0.454,156,77,1019,405,150,65,40,0.770034843,0.50174216,0.735191638,0.588850174,0.745644599,0.75261324,0.609756098,0.662020906,0.721254355,0.600121724,-0.170943465,0.153459147,0.084666154,0.46929915,0.422622895,-0.122231117,0.267584213,0.127404638,0.676345335,50.66253142,0.203553704,15.24745631,4.379868101,-0.579868101
"Gorgui Dieng Min - F,C",8,8,5.1,332,0.502,136,16,816,647,158,88,95,0.665505226,0.766550523,0.665505226,0.222996516,0.609756098,0.940766551,0.630662021,0.860627178,0.944250871,0.221651586,0.577361959,-0.013749567,-0.920249347,0.030164547,1.680081258,-0.067969198,1.029916276,1.8259538,0.700735579,43.00995229,0.484795702,29.75593166,11.55079362,-6.45079362
Dwyane Wade Cle - G,8,8,5.8,414,0.434,223,45,1096,270,228,86,41,0.818815331,0.327526132,0.843205575,0.404181185,0.794425087,0.49825784,0.780487805,0.846689895,0.735191638,0.730414723,-0.482737391,0.713608336,-0.442502633,0.635867447,-0.278851811,0.406822593,0.963626532,0.15828735,0.672086721,38.23327893,0.267170572,15.19864426,5.569422898,0.230577102
"Evan Fournier Orl - G,F",7,7,4.6,408,0.439,223,128,1167,209,202,66,4,0.797909408,0.355400697,0.843205575,0.832752613,0.836236934,0.299651568,0.731707317,0.679442509,0.034843206,0.693188152,-0.40478891,0.713608336,0.92484141,0.789456397,-0.595814457,0.230471356,0.300729085,-0.984372995,0.60123887,39.39821015,0.185257597,12.13963055,4.086709343,0.513290657
"Gary Harris Den - G,F",7,7,3.9,320,0.502,104,107,851,178,164,71,8,0.634146341,0.766550523,0.515679443,0.735191638,0.651567944,0.212543554,0.648083624,0.714285714,0.128919861,0.147198445,0.577361959,-0.281283508,0.578886893,0.10587741,-0.756893834,-0.027272759,0.466453447,-0.860842147,0.556329849,40.87725448,-0.005612677,-0.412400721,2.277307431,1.622692569
Rajon Rondo NO - G,7,7,3.7,229,0.408,30,50,538,355,461,99,11,0.407665505,0.163763066,0.055749129,0.442508711,0.337979094,0.679442509,0.954703833,0.919860627,0.18466899,-0.417404548,-0.888069496,-0.899955746,-0.36013251,-0.571211904,0.162817448,1.987200984,1.394509872,-0.768194011,0.460704607,35.21310481,-0.040048879,-3.061062028,2.171611901,1.528388099
"Tim Hardaway Jr. NY - G,F",7,7,3.2,415,0.455,164,149,1143,224,182,55,15,0.822299652,0.519163763,0.75261324,0.912891986,0.822299652,0.337979094,0.682926829,0.56097561,0.275261324,0.736619151,-0.155353768,0.220342632,1.270795927,0.737539006,-0.517872822,0.094816559,-0.06386451,-0.644663163,0.631823461,54.31999495,0.186484335,16.0326875,4.105683068,-0.905683068
James Johnson Mia - F,7,7,3.3,368,0.479,152,87,975,376,276,76,86,0.714285714,0.682926829,0.728222997,0.634146341,0.717770035,0.703832753,0.829268293,0.759581882,0.916376307,0.445011012,0.218798944,0.120017404,0.249406401,0.374117266,0.271935736,0.732394107,0.632177808,1.548009391,0.742934572,62.2263666,0.510207563,42.73372657,12.42250571,-9.122505706
Kentavious Caldwell-Pope LAL - G,7,7,2.9,370,0.399,154,153,1047,248,193,90,12,0.721254355,0.118466899,0.731707317,0.919860627,0.773519164,0.43902439,0.721254355,0.881533101,0.202090592,0.457419869,-1.028376763,0.136738275,1.336692025,0.52986944,-0.393166208,0.169426697,1.096206021,-0.737311299,0.612078978,57.48781868,0.174166451,16.35810036,3.919604441,-1.019604441
Jeremy Lin Bkn - G,7,7,3.6,175,0.438,115,58,523,135,184,42,15,0.236933798,0.348432056,0.567944251,0.494773519,0.306620209,0.094076655,0.68989547,0.3728223,0.275261324,-0.752443687,-0.420378606,-0.189318715,-0.228340313,-0.603660274,-0.980326518,0.108382039,-0.49474785,-0.644663163,0.37630662,29.37752184,-0.467277454,-36.47943692,3.398037156,0.201962844
Markelle Fultz Phi - G,7,7,6.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Markieff Morris Was - F,6,6,2.3,406,0.457,180,71,1063,493,126,82,43,0.794425087,0.533101045,0.783972125,0.547038328,0.777003484,0.843205575,0.540069686,0.81533101,0.75261324,0.680779295,-0.124174376,0.354109602,-0.014177993,0.564481034,0.879880482,-0.285016874,0.831047042,0.220052774,0.709639954,85.20016578,0.34522011,41.44751211,7.386168412,-5.086168412
Steven Adams OKC - C,6,6,4.3,374,0.571,157,0,905,613,86,89,78,0.728222997,0.933797909,0.742160279,0.12195122,0.68989547,0.930313589,0.344947735,0.87456446,0.895470383,0.482237583,1.653051006,0.161819582,-1.183833741,0.22269154,1.503413554,-0.556326469,1.063061149,1.300947695,0.695702671,47.69611313,0.516340211,35.39934822,12.63757939,-8.33757939
Willy Hernangomez NY - C,6,6,2.4,246,0.529,91,4,587,501,96,41,36,0.470383275,0.857142857,0.452961672,0.177700348,0.400696864,0.860627178,0.390243902,0.355400697,0.651567944,-0.311929264,0.99828376,-0.389969171,-1.117937643,-0.465213896,0.921449353,-0.48849907,-0.527892722,0.00387379,0.512969415,58.59368742,-0.153092763,-17.48694797,2.191914524,0.208085476
"Dirk Nowitzki Dal - F,C",6,6,3,296,0.437,98,79,769,353,82,30,38,0.599303136,0.341463415,0.484320557,0.606271777,0.571428571,0.672473868,0.334494774,0.170731707,0.672473868,-0.001707839,-0.435968302,-0.331446122,0.117614204,-0.071507011,0.15242523,-0.583457429,-0.892486318,0.065639214,0.494773519,45.03622654,-0.220099375,-20.03430847,2.401313239,0.598686761
"Brandon Ingram LAL - G,F",6,6,3,276,0.402,133,55,740,316,166,49,36,0.550522648,0.135888502,0.655052265,0.470383275,0.533101045,0.620209059,0.651567944,0.480836237,0.651567944,-0.125796409,-0.981607674,-0.038830874,-0.277762387,-0.134240526,-0.0398308,-0.013707279,-0.262733744,0.00387379,0.527680991,48.03159372,-0.207848434,-18.91917976,2.355370677,0.644629323
Marcus Smart Bos - G,6,6,1.8,269,0.359,203,94,835,305,364,125,34,0.522648084,0.031358885,0.81184669,0.675958188,0.6271777,0.588850174,0.902439024,0.961672474,0.634146341,-0.169227408,-1.651964617,0.546399622,0.364724573,0.071265815,-0.096987999,1.329275216,2.256276552,-0.057891634,0.639566396,108.8092728,0.287985569,48.99491365,6.015853172,-4.215853172
Malcolm Brogdon Mil - G,6,6,3.8,290,0.457,109,78,767,213,317,84,12,0.578397213,0.533101045,0.550522648,0.595818815,0.567944251,0.303135889,0.871080139,0.832752613,0.202090592,-0.03893441,-0.124174376,-0.239481329,0.101140179,-0.07583346,-0.575030021,1.010486442,0.897336787,-0.737311299,0.559427023,41.90461242,0.024244279,1.81604942,2.418795935,1.381204065
Darren Collison Ind - G,5,5,1.6,340,0.476,147,73,900,152,312,67,9,0.68641115,0.668989547,0.710801394,0.56445993,0.68641115,0.135888502,0.867595819,0.68989547,0.142857143,0.271287014,0.172029855,0.078215226,0.018770056,0.211875417,-0.891992666,0.976572742,0.333873958,-0.829959435,0.572590012,121.8267213,0.037852463,8.053653336,2.499496033,-0.899496033
"Pau Gasol SA - F,C",5,5,2.9,303,0.502,130,56,792,501,150,24,70,0.613240418,0.766550523,0.6271777,0.484320557,0.592334495,0.860627178,0.609756098,0.111498258,0.87456446,0.04172316,0.577361959,-0.063912181,-0.261288363,-0.021752844,0.921449353,-0.122231117,-1.091355552,1.053885999,0.615563298,57.81507381,0.114875602,10.78937196,3.160472299,-0.260472299
Eric Gordon Hou - G,5,5,3.6,412,0.406,147,246,1217,201,188,48,41,0.808362369,0.156794425,0.710801394,0.989547038,0.857142857,0.268292683,0.710801394,0.466898955,0.735191638,0.718005866,-0.919248889,0.078215226,2.868776315,0.897617629,-0.637383328,0.135512998,-0.295878616,0.15828735,0.633759195,49.47634079,0.333767172,26.05655034,7.095434841,-3.495434841
Dario Saric Phi - F,5,5,8.1,381,0.411,172,106,1040,513,182,57,30,0.742160279,0.177700348,0.756097561,0.731707317,0.766550523,0.871080139,0.682926829,0.585365854,0.567944251,0.525668583,-0.841300407,0.287226117,0.562412868,0.514726867,0.98380266,0.094816559,0.002425235,-0.181422483,0.653503678,31.24025551,0.216484,10.34885602,4.600231692,3.499768308
Rudy Gay SA - F,5,5,4.1,201,0.455,118,42,562,190,83,44,26,0.320557491,0.519163763,0.588850174,0.365853659,0.355400697,0.25087108,0.337979094,0.400696864,0.49825784,-0.591128546,-0.155353768,-0.164237409,-0.491924707,-0.519294512,-0.694540526,-0.576674689,-0.428458105,-0.304953331,0.404181185,28.64528108,-0.436285066,-30.92055944,3.316166814,0.783833186
Marquese Chriss Pho - F,5,5,1.9,284,0.449,113,72,753,348,60,67,70,0.567944251,0.445993031,0.56097561,0.550522648,0.550522648,0.668989547,0.202090592,0.68989547,0.87456446,-0.076160981,-0.248891946,-0.206039587,0.002296031,-0.106118605,0.126444686,-0.732677706,0.333873958,1.053885999,0.567944251,88.48497502,0.016290205,2.537992788,2.376392463,-0.476392463
"Willie Cauley-Stein Sac - F,C",5,5,3.8,255,0.53,101,0,611,338,80,53,44,0.491289199,0.864111498,0.49825784,0.12195122,0.421602787,0.655052265,0.320557491,0.540069686,0.777003484,-0.256089407,1.013873457,-0.306364815,-1.183833741,-0.413296505,0.074483596,-0.597022908,-0.130154255,0.250935486,0.521099497,39.03363898,-0.17194101,-12.87946613,2.239438247,1.560561753
Zach LaVine Chi - G,5,5,2.8,326,0.459,117,120,889,160,139,41,10,0.655052265,0.554006969,0.578397213,0.804878049,0.675958188,0.160278746,0.571428571,0.355400697,0.160278746,0.184425016,-0.092994983,-0.172597844,0.793049213,0.188079946,-0.850423794,-0.196841256,-0.527892722,-0.799076723,0.50174216,48.73083704,-0.163808128,-15.90958026,2.217689277,0.582310723
J.J. Redick Phi - G,4,4,2,396,0.445,180,201,1173,171,110,54,13,0.773519164,0.428571429,0.783972125,0.968641115,0.846689895,0.198606272,0.463414634,0.554006969,0.233449477,0.61873501,-0.311250732,0.354109602,2.127445207,0.802435745,-0.793266596,-0.393540712,-0.097009382,-0.706428587,0.58343012,84.17117409,0.177914395,25.66762154,3.975179305,-1.975179305
Seth Curry Dal - G,4,4,1.7,338,0.481,85,137,898,179,188,79,7,0.682926829,0.700348432,0.418118467,0.867595819,0.682926829,0.219512195,0.710801394,0.780487805,0.097560976,0.258878157,0.249978336,-0.440131785,1.073107632,0.207548968,-0.751697725,0.135512998,0.731612425,-0.891724859,0.573364305,108.0538595,0.063676016,12.00011802,2.681702835,-0.981702835
Marvin Williams Cha - F,4,4,1.4,297,0.422,131,124,849,500,106,58,53,0.602787456,0.233449477,0.641114983,0.822299652,0.648083624,0.853658537,0.442508711,0.595818815,0.804878049,0.004496589,-0.669813747,-0.055551745,0.858945312,0.10155096,0.916253244,-0.420671672,0.035570107,0.528879894,0.6271777,186.3980537,0.144406549,42.91782009,3.510520724,-2.110520724
Thaddeus Young Ind - F,4,4,1.5,362,0.527,45,45,814,448,122,113,30,0.707317073,0.839721254,0.163763066,0.404181185,0.602787456,0.783972125,0.515679443,0.933797909,0.567944251,0.407784441,0.967104368,-0.774549212,-0.442502633,0.025838098,0.64605558,-0.312147834,1.858538084,-0.181422483,0.613240418,151.2436966,0.243855379,60.1421365,5.102774118,-3.602774118
"Dion Waiters Mia - G,F",4,4,2.1,281,0.424,82,85,729,153,200,42,20,0.557491289,0.25087108,0.393728223,0.620209059,0.526132404,0.139372822,0.728222997,0.3728223,0.383275261,-0.094774267,-0.638634355,-0.465213092,0.216458351,-0.158035997,-0.886796557,0.216905877,-0.49474785,-0.490249603,0.441347271,59.48578728,-0.310565277,-41.85869321,2.799249885,-0.699249885
Nikola Mirotic Chi - F,4,4,1.4,258,0.413,99,129,744,384,75,53,55,0.494773519,0.191637631,0.494773519,0.836236934,0.540069686,0.710801394,0.285714286,0.540069686,0.825783972,-0.237476122,-0.810121014,-0.323085686,0.941315435,-0.125587627,0.313504608,-0.630936608,-0.130154255,0.590645318,0.546651181,162.4654641,-0.045766217,-13.60178102,2.15970062,-0.75970062
"Greg Monroe Mil - F,C",4,4,2.1,387,0.534,177,0,951,533,187,92,38,0.75261324,0.87456446,0.777003484,0.12195122,0.703832753,0.891986063,0.696864111,0.898954704,0.672473868,0.562895153,1.076232242,0.329028295,-1.183833741,0.322199874,1.087724839,0.128730258,1.162495765,0.065639214,0.7100271,95.6990648,0.394567989,53.18076947,8.730589676,-6.630589676
Jamal Murray Den - G,4,4,1.8,295,0.404,106,115,811,214,170,51,24,0.595818815,0.146341463,0.529616725,0.773519164,0.599303136,0.31010453,0.658536585,0.512195122,0.466898955,-0.007912268,-0.950428281,-0.264562636,0.71067909,0.019348424,-0.569833912,0.01342368,-0.196443999,-0.366718755,0.510259388,86.8103036,-0.179160962,-30.48061016,2.260239433,-0.460239433
"Kent Bazemore Atl - G,F",4,4,1.4,295,0.409,119,92,801,231,177,91,52,0.595818815,0.170731707,0.599303136,0.655052265,0.595818815,0.365853659,0.672473868,0.888501742,0.801393728,-0.007912268,-0.8724798,-0.155876973,0.331776524,-0.002283823,-0.48150006,0.060902859,1.129350893,0.497997182,0.593883082,176.5028484,0.055552726,16.51034473,2.620213941,-1.220213941
Buddy Hield Sac - G,3,3,2,327,0.426,64,148,866,270,121,38,9,0.658536585,0.268292683,0.264808362,0.902439024,0.662020906,0.49825784,0.505226481,0.292682927,0.142857143,0.190629444,-0.607454962,-0.615700934,1.254321902,0.138325779,-0.278851811,-0.318930574,-0.627327339,-0.829959435,0.466124661,67.24757372,-0.188327548,-27.16992192,2.288560189,-0.288560189
T.J. Warren Pho - F,3,3,1.4,403,0.495,119,26,951,339,75,76,39,0.787456446,0.745644599,0.599303136,0.268292683,0.703832753,0.658536585,0.285714286,0.759581882,0.693379791,0.662166009,0.468234085,-0.155876973,-0.755509101,0.322199874,0.079679705,-0.630936608,0.632177808,0.096521926,0.611304684,181.6805721,0.079850747,23.73174921,2.815770828,-1.415770828
Wilson Chandler Den - F,3,3,2.7,433,0.461,141,110,1117,460,141,51,30,0.846689895,0.571428571,0.675958188,0.756097561,0.81184669,0.797909408,0.585365854,0.512195122,0.567944251,0.848298864,-0.06181559,0.028052612,0.628308967,0.681295165,0.708408887,-0.183275776,-0.196443999,-0.181422483,0.680603949,68.52280231,0.252378516,25.40931948,5.269255401,-2.569255401
"Rodney Hood Uta - G,F",3,3,2.1,272,0.408,90,114,748,202,96,38,11,0.536585366,0.163763066,0.445993031,0.770034843,0.543554007,0.275261324,0.390243902,0.292682927,0.18466899,-0.150614123,-0.888069496,-0.398329607,0.694205065,-0.116934729,-0.632187219,-0.48849907,-0.627327339,-0.768194011,0.400309717,53.95465267,-0.375105614,-50.55758644,3.090230669,-0.990230669
Jabari Parker Mil - F,3,3,8.4,399,0.49,162,65,1025,314,142,50,22,0.777003484,0.735191638,0.74912892,0.522648084,0.74912892,0.616724739,0.592334495,0.49825784,0.418118467,0.637348295,0.390285603,0.20362176,-0.113022141,0.482278498,-0.050223018,-0.176493036,-0.229588872,-0.428484179,0.628726287,29.54219155,0.079524768,3.736659297,2.812914322,5.587085678
Robin Lopez Chi - C,3,3,2,382,0.493,75,0,839,520,80,18,117,0.745644599,0.742160279,0.351916376,0.12195122,0.634146341,0.87804878,0.320557491,0.066202091,0.968641115,0.531873011,0.437054692,-0.523736142,-1.183833741,0.079918714,1.020175423,-0.597022908,-1.290224786,2.505373464,0.536585366,77.41290463,0.10884197,15.702577,3.095698214,-1.095698214
"Wesley Matthews Dal - G,F",3,3,1.4,333,0.393,146,174,986,259,210,77,15,0.672473868,0.083623693,0.696864111,0.944250871,0.728222997,0.466898955,0.756097561,0.766550523,0.275261324,0.227856015,-1.121914941,0.06985479,1.682646542,0.397912737,-0.33600901,0.284733275,0.665322681,-0.644663163,0.598915989,177.9986352,0.136193214,40.47680587,3.407619307,-2.007619307
"Frank Kaminsky Cha - F,C",3,3,1.4,320,0.399,118,116,874,337,162,47,34,0.634146341,0.118466899,0.588850174,0.780487805,0.665505226,0.651567944,0.641114983,0.449477352,0.634146341,0.147198445,-1.028376763,-0.164237409,0.727153115,0.155631576,0.069287487,-0.040838239,-0.329023489,-0.057891634,0.573751452,170.519701,-0.057899657,-17.20785562,2.139493797,-0.739493797
"Derrick Favors Uta - F,C",3,3,3,203,0.487,67,3,476,305,56,45,40,0.331010453,0.728222997,0.292682927,0.174216028,0.25087108,0.588850174,0.160278746,0.411149826,0.721254355,-0.578719689,0.343516514,-0.590619627,-1.134411667,-0.705331832,-0.096987999,-0.759808665,-0.395313233,0.127404638,0.406504065,37.00159458,-0.421141284,-38.33393171,3.267230297,-0.267230297
"Ryan Anderson Hou - F,C",3,3,1.9,323,0.418,129,204,979,330,68,31,14,0.644599303,0.209059233,0.62369338,0.972125436,0.721254355,0.637630662,0.24738676,0.18815331,0.254355401,0.16581173,-0.732172533,-0.072272616,2.176867281,0.382770164,0.032914725,-0.678415787,-0.859341446,-0.675545875,0.499806427,77.8691907,-0.028820484,-4.4901939,2.199583022,-0.299583022
Reggie Jackson Det - G,3,3,1.7,284,0.419,118,66,752,114,270,35,5,0.567944251,0.212543554,0.588850174,0.526132404,0.547038328,0.055749129,0.825783972,0.243902439,0.048780488,-0.076160981,-0.716582836,-0.164237409,-0.096548116,-0.10828183,-1.089444806,0.691697668,-0.726761956,-0.953490283,0.401858304,75.73254976,-0.35997895,-67.8401403,3.02501986,-1.32501986
"Zach Randolph Sac - F,C",2,2,5,433,0.449,141,21,1028,598,122,38,10,0.846689895,0.445993031,0.675958188,0.243902439,0.75261324,0.919860627,0.515679443,0.292682927,0.160278746,0.848298864,-0.248891946,0.028052612,-0.837879224,0.488768172,1.42547192,-0.312147834,-0.627327339,-0.799076723,0.539295393,33.50830677,-0.003859055,-0.239776599,2.284303336,2.715696664
"Will Barton Den - G,F",2,2,1.1,295,0.443,143,87,820,259,206,48,28,0.595818815,0.397212544,0.682926829,0.634146341,0.616724739,0.466898955,0.745644599,0.466898955,0.536585366,-0.007912268,-0.342430124,0.044773483,0.249406401,0.038817446,-0.33600901,0.257602316,-0.295878616,-0.243187907,0.571428571,599.5462107,-0.070535364,-74.00611827,2.125559244,-1.025559244
Kris Dunn Chi - G,2,2,1.2,118,0.377,36,21,293,166,188,78,36,0.094076655,0.048780488,0.090592334,0.243902439,0.083623693,0.181184669,0.710801394,0.777003484,0.651567944,-1.106096111,-1.371350082,-0.849793132,-0.837879224,-1.101201942,-0.819247141,0.135512998,0.698467553,0.00387379,0.320170345,175.6075092,-0.583079255,-319.8081811,3.416911619,-2.216911619
Allen Crabbe Bkn - G,2,2,1.2,303,0.468,105,134,845,226,94,54,20,0.613240418,0.6271777,0.519163763,0.850174216,0.641114983,0.351916376,0.369337979,0.554006969,0.383275261,0.04172316,0.047312284,-0.272923072,1.023685558,0.092898062,-0.507480605,-0.50206455,-0.097009382,-0.490249603,0.545489741,299.1910283,-0.073789794,-40.47233665,2.123110614,-0.923110614
"Tristan Thompson Cle - F,C",2,2,1.7,262,0.6,106,0,630,715,77,39,84,0.505226481,0.961672474,0.529616725,0.12195122,0.442508711,0.954703833,0.303135889,0.303135889,0.909407666,-0.212658408,2.1051522,-0.264562636,-1.183833741,-0.372195237,2.033416666,-0.617371128,-0.594182467,1.486243967,0.559039876,105.3543371,0.264445468,49.83629649,5.513054295,-3.813054295
Jayson Tatum Bos - F,2,2,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jordan Clarkson LAL - G,2,2,1.3,477,0.445,134,117,1205,246,213,89,8,0.871080139,0.428571429,0.662020906,0.790940767,0.853658537,0.425087108,0.766550523,0.87456446,0.128919861,1.121293718,-0.311250732,-0.030470438,0.743627139,0.871658934,-0.403558426,0.305081495,1.063061149,-0.860842147,0.644599303,245.6886819,0.277622299,105.8155918,5.790083624,-4.490083624
"Bojan Bogdanovic Ind - G,F",2,2,1.2,376,0.445,217,144,1113,277,111,34,7,0.731707317,0.428571429,0.825783972,0.881533101,0.808362369,0.512195122,0.470383275,0.229965157,0.097560976,0.49464644,-0.311250732,0.663445722,1.188425804,0.672642266,-0.242479049,-0.386757972,-0.759906829,-0.891724859,0.554006969,303.8625703,0.047448977,26.02488573,2.562707204,-1.362707204
Marcus Morris Bos - F,1,1,1.2,421,0.418,145,118,1105,366,160,52,25,0.825783972,0.209059233,0.68989547,0.797909408,0.804878049,0.68989547,0.637630662,0.526132404,0.480836237,0.773845722,-0.732172533,0.061494354,0.760101164,0.655336469,0.219974647,-0.054403718,-0.163299127,-0.335836043,0.629113434,345.0570767,0.131671215,72.21922484,3.352795924,-2.152795924
"Terrence Ross Orl - G,F",1,1,1,326,0.437,64,142,858,206,88,87,33,0.655052265,0.341463415,0.264808362,0.87456446,0.655052265,0.292682927,0.351916376,0.853658537,0.62369338,0.184425016,-0.435968302,-0.615700934,1.155477755,0.121019982,-0.611402783,-0.542760989,0.996771404,-0.088774346,NA,NA,NA,NA,NA,NA
Al-Farouq Aminu Por - F,1,1,1,183,0.392,96,70,532,451,99,61,44,0.261324042,0.080139373,0.470383275,0.540069686,0.327526132,0.787456446,0.421602787,0.634146341,0.777003484,-0.702808259,-1.137504637,-0.348166993,-0.030652018,-0.584191252,0.661643906,-0.468150851,0.135004724,0.250935486,NA,NA,NA,NA,NA,NA
"Josh Jackson Pho - G,F",1,1,2.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Joe Ingles Uta - G,F",1,1,1.9,204,0.452,50,123,581,261,225,95,8,0.334494774,0.484320557,0.191637631,0.808362369,0.379790941,0.473867596,0.777003484,0.909407666,0.128919861,-0.57251526,-0.202122857,-0.732747033,0.842471287,-0.478193244,-0.325616792,0.386474373,1.261930382,-0.860842147,0.498644986,77.68823983,-0.075684588,-11.79156029,2.121895922,-0.221895922
Ersan Ilyasova Atl - F,1,1,1.1,384,0.431,161,142,1071,481,140,58,23,0.74912892,0.296167247,0.745644599,0.87456446,0.783972125,0.829268293,0.578397213,0.595818815,0.442508711,0.544281868,-0.52950648,0.195261325,1.155477755,0.581786831,0.817527174,-0.190058516,0.035570107,-0.397601467,0.655052265,687.2846806,0.245859844,257.9575913,5.141500694,-4.041500694
Justise Winslow Mia - F,1,1,1,80,0.356,29,7,196,94,66,26,6,0.041811847,0.024390244,0.052264808,0.18815331,0.034843206,0.027874564,0.240418118,0.12543554,0.073170732,-1.341864393,-1.698733706,-0.908316182,-1.068515569,-1.311034732,-1.193366984,-0.691981267,-1.025065807,-0.922607571,NA,NA,NA,NA,NA,NA
